pickup_month,monthly_hamper_demand,unique_client,total_visits,visits_last_90d,days_since_first_visit,avg_days_between_visits,distance_km,avg_distance_km,distance_category,total_dependents,unique_clients,returning_proportion,prev_month_demand,rolling_3m_demand
Apr-24,940,1669658091582x874637848970788900,5,1.0,0,30.0,6.523,6.522999999999999,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1669658091582x874637848970788900,5,2.0,13,30.0,6.523,6.522999999999999,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1669658091582x874637848970788900,5,3.0,60,30.0,6.523,6.522999999999999,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1669658091582x874637848970788900,5,3.0,90,30.0,6.523,6.522999999999999,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1669658091582x874637848970788900,5,3.0,121,30.0,6.523,6.522999999999999,medium,4369,998,0.9826238053866203,7.0,748.0
Jan-24,834,1673043106565x702758294392930300,8,1.0,0,28.571428571428573,4.403,4.403,near,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1673043106565x702758294392930300,8,2.0,31,28.571428571428573,4.403,4.403,near,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1673043106565x702758294392930300,8,3.0,59,28.571428571428573,4.403,4.403,near,3418,871,0.9967032967032967,1538.0,1297.3333333333333
May-24,1180,1673043106565x702758294392930300,8,3.0,104,28.571428571428573,4.403,4.403,near,3634,935,0.9989680082559339,938.0,1218.6666666666667
May-24,1180,1673043106565x702758294392930300,8,3.0,134,28.571428571428573,4.403,4.403,near,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1673043106565x702758294392930300,8,3.0,151,28.571428571428573,4.403,4.403,near,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1673043106565x702758294392930300,8,4.0,172,28.571428571428573,4.403,4.403,near,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1673043106565x702758294392930300,8,4.0,204,28.571428571428573,4.403,4.403,near,4369,998,0.9826238053866203,7.0,748.0
Apr-24,940,1686780032991x462370984017264640,6,1.0,0,28.0,,,,3525,905,0.9989224137931034,,940.0
May-24,1180,1686780032991x462370984017264640,6,2.0,50,28.0,,,,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1686780032991x462370984017264640,6,3.0,81,28.0,,,,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1686780032991x462370984017264640,6,3.0,104,28.0,,,,4219,985,0.9955277280858676,3.0,751.0
Jul-24,1416,1686780032991x462370984017264640,6,4.0,111,28.0,,,,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1686780032991x462370984017264640,6,4.0,142,28.0,,,,4369,998,0.9826238053866203,7.0,748.0
Aug-23,7,1689345689019x623399745786478600,9,1.0,0,39.625,,,,17,2,1.0,940.0,473.5
Nov-23,591,1689345689019x623399745786478600,9,2.0,76,39.625,,,,2296,576,0.9915254237288136,1180.0,903.0
Jan-24,834,1689345689019x623399745786478600,9,2.0,136,39.625,,,,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1689345689019x623399745786478600,9,2.0,167,39.625,,,,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1689345689019x623399745786478600,9,3.0,196,39.625,,,,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1689345689019x623399745786478600,9,3.0,227,39.625,,,,3525,905,0.9989224137931034,,940.0
May-24,1180,1689345689019x623399745786478600,9,4.0,257,39.625,,,,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1689345689019x623399745786478600,9,3.0,288,39.625,,,,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1689345689019x623399745786478600,9,3.0,318,39.625,,,,4219,985,0.9955277280858676,3.0,751.0
Sep-23,16,1694115474357x134699341188431870,13,1.0,0,28.416666666666668,11.075,11.075,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1694115474357x134699341188431870,13,2.0,29,28.416666666666668,11.075,11.075,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694115474357x134699341188431870,13,3.0,60,28.416666666666668,11.075,11.075,medium,2296,576,0.9915254237288136,1180.0,903.0
Nov-23,591,1694115474357x134699341188431870,13,4.0,69,28.416666666666668,11.075,11.075,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694115474357x134699341188431870,13,4.0,99,28.416666666666668,11.075,11.075,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694115474357x134699341188431870,13,4.0,130,28.416666666666668,11.075,11.075,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694115474357x134699341188431870,13,3.0,161,28.416666666666668,11.075,11.075,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694115474357x134699341188431870,13,3.0,190,28.416666666666668,11.075,11.075,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694115474357x134699341188431870,13,3.0,222,28.416666666666668,11.075,11.075,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694115474357x134699341188431870,13,3.0,252,28.416666666666668,11.075,11.075,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694115474357x134699341188431870,13,3.0,283,28.416666666666668,11.075,11.075,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694115474357x134699341188431870,13,3.0,313,28.416666666666668,11.075,11.075,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694115474357x134699341188431870,13,3.0,344,28.416666666666668,11.075,11.075,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1694547419532x515953499649605600,11,1.0,0,34.0,18.085,18.085,medium,49,13,1.0,37.0,214.66666666666666
Nov-23,591,1694547419532x515953499649605600,11,2.0,69,34.0,18.085,18.085,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694547419532x515953499649605600,11,2.0,98,34.0,18.085,18.085,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694547419532x515953499649605600,11,3.0,129,34.0,18.085,18.085,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694547419532x515953499649605600,11,3.0,160,34.0,18.085,18.085,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694547419532x515953499649605600,11,3.0,189,34.0,18.085,18.085,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694547419532x515953499649605600,11,3.0,220,34.0,18.085,18.085,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694547419532x515953499649605600,11,4.0,250,34.0,18.085,18.085,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694547419532x515953499649605600,11,3.0,281,34.0,18.085,18.085,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694547419532x515953499649605600,11,3.0,311,34.0,18.085,18.085,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694547419532x515953499649605600,11,3.0,342,34.0,18.085,18.085,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1694618651284x189821317665259520,13,1.0,0,26.916666666666668,13.488,13.488,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1694618651284x189821317665259520,13,2.0,24,26.916666666666668,13.488,13.488,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694618651284x189821317665259520,13,3.0,56,26.916666666666668,13.488,13.488,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694618651284x189821317665259520,13,4.0,85,26.916666666666668,13.488,13.488,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694618651284x189821317665259520,13,3.0,119,26.916666666666668,13.488,13.488,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694618651284x189821317665259520,13,3.0,149,26.916666666666668,13.488,13.488,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694618651284x189821317665259520,13,3.0,176,26.916666666666668,13.488,13.488,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694618651284x189821317665259520,13,3.0,210,26.916666666666668,13.488,13.488,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694618651284x189821317665259520,13,3.0,239,26.916666666666668,13.488,13.488,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694618651284x189821317665259520,13,3.0,268,26.916666666666668,13.488,13.488,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694618651284x189821317665259520,13,4.0,297,26.916666666666668,13.488,13.488,medium,4219,985,0.9955277280858676,3.0,751.0
Jul-24,1416,1694618651284x189821317665259520,13,5.0,300,26.916666666666668,13.488,13.488,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694618651284x189821317665259520,13,5.0,328,26.916666666666668,13.488,13.488,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1694630813849x163939988692795400,12,1.0,0,30.272727272727273,14.408,14.408,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1694630813849x163939988692795400,12,2.0,35,30.272727272727273,14.408,14.408,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694630813849x163939988692795400,12,3.0,60,30.272727272727273,14.408,14.408,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694630813849x163939988692795400,12,3.0,90,30.272727272727273,14.408,14.408,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694630813849x163939988692795400,12,4.0,121,30.272727272727273,14.408,14.408,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694630813849x163939988692795400,12,3.0,152,30.272727272727273,14.408,14.408,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694630813849x163939988692795400,12,3.0,181,30.272727272727273,14.408,14.408,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694630813849x163939988692795400,12,3.0,212,30.272727272727273,14.408,14.408,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694630813849x163939988692795400,12,4.0,242,30.272727272727273,14.408,14.408,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694630813849x163939988692795400,12,3.0,273,30.272727272727273,14.408,14.408,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694630813849x163939988692795400,12,3.0,303,30.272727272727273,14.408,14.408,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694630813849x163939988692795400,12,3.0,334,30.272727272727273,14.408,14.408,medium,4369,998,0.9826238053866203,7.0,748.0
Oct-23,37,1694706859040x976185037439631400,9,1.0,0,27.25,11.589,11.589,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694706859040x976185037439631400,9,2.0,27,27.25,11.589,11.589,medium,2296,576,0.9915254237288136,1180.0,903.0
Nov-23,591,1694706859040x976185037439631400,9,3.0,35,27.25,11.589,11.589,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694706859040x976185037439631400,9,4.0,57,27.25,11.589,11.589,medium,2594,646,0.9898107714701602,1297.0,666.0
Dec-23,694,1694706859040x976185037439631400,9,5.0,70,27.25,11.589,11.589,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694706859040x976185037439631400,9,6.0,87,27.25,11.589,11.589,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694706859040x976185037439631400,9,5.0,125,27.25,11.589,11.589,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694706859040x976185037439631400,9,4.0,159,27.25,11.589,11.589,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
May-24,1180,1694706859040x976185037439631400,9,2.0,222,27.25,11.589,11.589,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Oct-23,37,1694713582252x652951100532457500,11,1.0,0,30.3,11.334,11.334,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694713582252x652951100532457500,11,2.0,32,30.3,11.334,11.334,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694713582252x652951100532457500,11,3.0,63,30.3,11.334,11.334,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694713582252x652951100532457500,11,3.0,94,30.3,11.334,11.334,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694713582252x652951100532457500,11,3.0,125,30.3,11.334,11.334,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694713582252x652951100532457500,11,3.0,153,30.3,11.334,11.334,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694713582252x652951100532457500,11,3.0,185,30.3,11.334,11.334,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694713582252x652951100532457500,11,3.0,215,30.3,11.334,11.334,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694713582252x652951100532457500,11,3.0,246,30.3,11.334,11.334,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694713582252x652951100532457500,11,3.0,276,30.3,11.334,11.334,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694713582252x652951100532457500,11,3.0,307,30.3,11.334,11.334,medium,4369,998,0.9826238053866203,7.0,748.0
Sep-23,16,1694718589350x154128574245765120,12,1.0,0,30.181818181818183,14.362,14.362,medium,49,13,1.0,37.0,214.66666666666666
Oct-23,37,1694718589350x154128574245765120,12,2.0,34,30.181818181818183,14.362,14.362,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694718589350x154128574245765120,12,3.0,61,30.181818181818183,14.362,14.362,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694718589350x154128574245765120,12,3.0,91,30.181818181818183,14.362,14.362,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694718589350x154128574245765120,12,4.0,122,30.181818181818183,14.362,14.362,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694718589350x154128574245765120,12,3.0,153,30.181818181818183,14.362,14.362,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694718589350x154128574245765120,12,3.0,182,30.181818181818183,14.362,14.362,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694718589350x154128574245765120,12,3.0,213,30.181818181818183,14.362,14.362,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694718589350x154128574245765120,12,3.0,243,30.181818181818183,14.362,14.362,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694718589350x154128574245765120,12,3.0,274,30.181818181818183,14.362,14.362,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694718589350x154128574245765120,12,3.0,304,30.181818181818183,14.362,14.362,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694718589350x154128574245765120,12,3.0,335,30.181818181818183,14.362,14.362,medium,4369,998,0.9826238053866203,7.0,748.0
Oct-23,37,1694722174454x145164872194195460,11,1.0,0,30.3,10.232,10.232,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694722174454x145164872194195460,11,2.0,29,30.3,10.232,10.232,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694722174454x145164872194195460,11,3.0,62,30.3,10.232,10.232,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694722174454x145164872194195460,11,3.0,92,30.3,10.232,10.232,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694722174454x145164872194195460,11,3.0,123,30.3,10.232,10.232,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694722174454x145164872194195460,11,3.0,152,30.3,10.232,10.232,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694722174454x145164872194195460,11,3.0,183,30.3,10.232,10.232,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694722174454x145164872194195460,11,4.0,213,30.3,10.232,10.232,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694722174454x145164872194195460,11,3.0,244,30.3,10.232,10.232,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694722174454x145164872194195460,11,3.0,274,30.3,10.232,10.232,medium,4219,985,0.9955277280858676,3.0,751.0
Aug-24,1297,1694722174454x145164872194195460,11,3.0,305,30.3,10.232,10.232,medium,4369,998,0.9826238053866203,7.0,748.0
Oct-23,37,1694726565413x787450075941437400,11,1.0,0,30.4,10.304,10.304,medium,115,30,1.0,591.0,602.6666666666666
Nov-23,591,1694726565413x787450075941437400,11,2.0,30,30.4,10.304,10.304,medium,2296,576,0.9915254237288136,1180.0,903.0
Dec-23,694,1694726565413x787450075941437400,11,3.0,62,30.4,10.304,10.304,medium,2594,646,0.9898107714701602,1297.0,666.0
Jan-24,834,1694726565413x787450075941437400,11,3.0,92,30.4,10.304,10.304,medium,3160,765,0.9987878787878788,845.0,791.0
Feb-24,845,1694726565413x787450075941437400,11,3.0,123,30.4,10.304,10.304,medium,3190,812,0.9975816203143894,694.0,945.3333333333334
Mar-24,938,1694726565413x787450075941437400,11,3.0,152,30.4,10.304,10.304,medium,3418,871,0.9967032967032967,1538.0,1297.3333333333333
Apr-24,940,1694726565413x787450075941437400,11,3.0,183,30.4,10.304,10.304,medium,3525,905,0.9989224137931034,,940.0
May-24,1180,1694726565413x787450075941437400,11,4.0,213,30.4,10.304,10.304,medium,3634,935,0.9989680082559339,938.0,1218.6666666666667
Jun-24,1538,1694726565413x787450075941437400,11,3.0,244,30.4,10.304,10.304,medium,3659,939,1.0,1416.0,985.6666666666666
Jul-24,1416,1694726565413x787450075941437400,11,3.0,274,30.4,10.304,10.304,medium,4219,985,0.9955277280858676,3.0,751.0
